text,label
My relative wants to establish the legitimacy of her child born during a brief separation from her husband.,5
Someone hacked into my smart speaker account and accessed my voice command history.,4
I was charged extra hidden fees while purchasing a water purifier that were never mentioned anywhere during the checkout process.,2
I want to know if my employer can monitor my personal device usage during remote working hours.,6
My neighbour's cattle shed emits a strong smell that has made it uncomfortable to stay in our house.,0
I was detained briefly for raising slogans against a government policy during a peaceful demonstration in Jaipur.,1
A woman was forced into a vehicle against her will outside a railway station in broad daylight.,3
My company terminated several employees overnight without any prior warning or compensation.,6
Someone hijacked my personal newsletter account and sent unauthorized promotional emails to my subscribers.,4
A man entered our field without permission and has been harvesting crops that belong to us.,3
"The company's advertisement showed a much larger size for the dinner set, but the delivered product was noticeably smaller than shown.",2
Someone was seen throwing a suspicious substance into our well after an argument over water sharing.,3
"I was cheated during an online matrimonial scam, can I file a police complaint?",4
Is it possible to claim a refund for a wristwatch purchased in Ahmedabad that stopped working just days after delivery?,2
My neighbour has started unauthorized construction that extends into my farmhouse without any legal sanction.,7
A builder promised certain amenities in our housing society but never delivered them as per the agreement.,0
My workplace requires me to work extended hours beyond the standard limit almost every day.,6
"The municipal corporation is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",1
"I have been using a pathway through a neighbouring plot for years, but the new owner is now refusing to allow me access.",7
My landlord is refusing to return my security deposit even though I vacated the vacant plot in proper condition.,7
"I have been working overtime regularly, but my company refuses to pay any additional compensation.",6
"My father transferred an orchard land to my half-brother through a gift deed, but I believe this transfer was made under pressure.",7
My cousin wants to understand her rights as an adopted child regarding her biological family's inheritance.,5
My employer keeps delaying my salary payment by several weeks every single month.,6
I want to know if I can refuse to work in conditions I consider unsafe without facing termination.,6
A person was found in possession of jewellery that had been reported stolen from a house nearby.,3
My grandfather refuses to hand over possession of the family house even after a partition was agreed upon by the family.,7
"My r̩sum̩ and personal details were misused to apply for fraudulent loans, what is the legal process?",4
"My employer monitors my work hours excessively while working remotely, causing unnecessary stress.",6
"My grandfather transferred his farmhouse to one grandchild through a gift deed, and other family members are contesting it now.",7
"Someone hacked into my smart doorbell system and is spying on my house, what legal steps should I take?",4
"My husband and I jointly purchased our house, but now we disagree on how to divide it after separation.",5
My cousin wants to annul her marriage since consent was obtained through serious misrepresentation.,5
I want to recover charges paid for a service that was never completed as agreed by the provider.,0
My company deducted my entire day's salary for taking half a day of approved leave.,6
Someone entrusted with safekeeping my mother's jewellery during a wedding never returned it.,3
A state-run school is preventing me from practicing my trade in a public market without giving any valid legal reason.,1
I want to recover a set of tools I lent to a friend who now claims he never borrowed them.,0
A person was hospitalized after consuming sweets that were allegedly laced with a harmful substance.,3
A courier company lost an important package and is refusing to compensate for the value of the contents.,0
My platform reduced my per-delivery payout without informing workers in advance.,6
I want to file for a contested divorce because my husband is an alcoholic and neglects our family.,5
I want to know if a spouse automatically becomes the guardian of a minor child after the other parent's death.,5
My relative wants to understand her rights when her ex-husband wants to homeschool their children instead of formal schooling.,5
My uncle was attacked with an axe during a dispute over inherited farmland boundaries.,3
Is there a way to get compensation for the mental harassment caused by a faulty kids' toy that the seller refuses to fix?,2
My employer is not honouring the terms of my employment contract regarding annual salary increments.,6
"Someone recorded a private video call without my consent and is threatening to leak it, what can I do?",4
I want to know if non-compete clauses are enforceable after an employee resigns from a company.,6
"A government-run shelter denied entry to a person based purely on their religious identity, and I want to question this.",1
"Someone created a fake missing person post using my child's photo as a prank, how do we report this?",4
I want to know whether continuous surveillance of citizens through public cameras without any policy safeguards violates privacy rights.,1
My wife wants a share of the house that was purchased entirely with my personal savings before marriage.,5
A person who agreed to help set up machinery under a service contract has failed to appear despite reminders.,0
I want to understand whether a government ban on a book can be legally challenged as an unreasonable restriction on expression.,1
Is it possible to claim a refund for an air conditioner purchased in Indore that stopped working just days after delivery?,2
My daughter received obscene messages and photos from an unknown man near her college.,3
I want to know if gig economy workers are entitled to any form of social security benefits.,6
I want to know how long an employer can legally delay salary payments to employees.,6
My tenant has sublet my duplex house to another person without asking for my permission as the owner.,7
"I want a replacement for my faulty mattress, but the manufacturer's authorised dealer keeps sending a technician instead of giving me a new unit as promised.",2
The billboard advertisement for a mixer grinder sale mentioned a price that was very different from what I was actually charged in-store.,2
"The showroom promised to replace my bicycle within seven days of purchase, but they keep giving excuses every time I follow up.",2
I want to understand the process for correcting an error in our marriage registration certificate.,5
My spouse and I are unsure what documents we need to submit for a mutual consent divorce.,5
"My paternal uncle is asking for more than his rightful share in the ancestral orchard land, and we cannot reach an agreement.",7
I was billed for car rental service at a much higher rate than what was quoted to me verbally at the time of subscribing.,2
My former landlord is refusing to return advance rent despite me vacating before the lease period ended.,0
My ex-wife keeps changing our custody schedule without any prior discussion with me.,5
I want to know how to reclaim possession of my housing plot from squatters who moved in without my permission.,7
I want to know what legal steps are needed for a formal judicial separation from my wife.,5
My relative's business partner is refusing to return capital invested despite the partnership being formally dissolved.,0
"My father remarried after my mother's death, and I want to know my inheritance rights in this situation.",5
Someone touched my sister inappropriately in a crowded market and ran away before we could catch him.,3
Some individuals appear to be working together to run a fraudulent chit fund scheme in our town.,3
A group brought choppers and rods to a confrontation over a disputed piece of farmland.,3
A company failed to honour its warranty agreement despite the product malfunctioning within the covered period.,0
A person who worked with us on a project is using our unique branding elements for his own business.,0
"A stalker is showing up at places I check into on social media, what legal protection is available?",4
"There seem to be conflicting entries in the land records for my orchard land, and I am not sure which one is correct.",7
I want to understand if employees can refuse to work on their designated weekly off day.,6
"I noticed duplicate charges on my card for a single purchase of a laptop, and the merchant is not refunding the extra amount.",2
A man was caught using a fake identity card to gain entry into a secure office building.,3
My private research paper was published under someone else's name on an academic platform.,4
"A government-run institution rejected my application without giving any reasons, and I believe this decision was completely arbitrary.",1
My father-in-law was hit on the head with a helmet during a road rage incident.,3
Someone is impersonating a well-known doctor online to give medical advice and collect consultation fees.,4
A local authority denied our community group permission to hold an annual public procession without offering a valid explanation.,1
Someone brandished a country-made pistol during an argument at a wedding function in our village.,3
I want to know how maintenance amounts are typically decided when a couple separates.,5
"My complaint was registered days after the incident happened, and I am worried this delay will cause problems.",3
I want to know if maintenance continues even after my wife starts earning a good salary.,5
"My wife's family insists on controlling our household finances, which I find deeply uncomfortable.",5
My cousin has gotten involved with a group running an illegal betting operation in our town.,3
My company reduced my leave balance without any explanation during the annual review.,6
A construction site nearby caused cracks to develop in my house due to continuous vibrations.,0
My cousin used a power of attorney to sell our family's independent house without informing the rest of the family members.,7
One of the co-owners of our jointly owned farmhouse wants to sell his share without consulting the rest of us.,7
A partner in our joint venture leaked sensitive business plans to an outside party against our agreement.,0
Someone offered a large sum of money to a witness to change his statement in an ongoing case.,3
The municipal corporation is preventing me from practicing my trade in a public market without giving any valid legal reason.,1
How can I verify that an agricultural land I am planning to buy is free from any pending legal disputes?,7
I want to know if the state can restrict citizens from forming a cooperative society without adequate justification.,1
My cousin wants to claim her share of inheritance despite living abroad for the past decade.,5
A former employee is refusing to return company property despite being asked multiple times after resignation.,0
"My new car developed a major engine issue within the first month, and the dealership is refusing to acknowledge any manufacturing defect.",2
I want to claim compensation for earned leaves that were never encashed after I left the company.,6
I want to know if a marriage conducted under duress can later be annulled.,5
I want to know if my employer can terminate remote employees more easily than office-based staff.,6
"My wife has filed a false case against me, and I now want to pursue divorce proceedings.",5
I want to know my options after being sold a sofa set that turned out to be completely different from what was advertised.,2
An online store using a name similar to ours is misleading customers into thinking it's our official platform.,4
My relative found unknown people cutting trees on their private land without authorization.,3
"A child in our neighbourhood was found with unexplained injuries, and we suspect abuse at home.",3
"The local authorities have issued a demolition notice for my commercial shop, and I want to challenge it legally.",7
My employer asked me to sign an employment bond requiring me to work for three years or pay a penalty.,6
I want to know whether a particular government notification exceeds the powers granted to that authority under the constitution.,1
My relative's neighbour built an extension that reduced the width of our shared access lane.,0
Someone tampered with a vehicle's number plate to avoid identification after a hit-and-run incident.,3
The registrar's office is delaying the registration of my row house without giving me any clear reason for the delay.,7
"My relative hired an accountant who made errors in financial statements, causing losses during a business audit.",0
I want to question the legal authority of a person who has been appointed to hold a public office in Guwahati.,1
My relative's child's legitimacy is being questioned by extended family members after a family dispute.,5
"The repair technician kept my inverter battery for weeks and returned it still faulty, yet charged me the full repair amount anyway.",2
A man posing as an income tax officer threatened to raid our house unless we paid him money.,3
My father's complaint was registered as a general diary entry instead of an FIR despite the seriousness of the incident.,3
My uncle was warned that his family would be harmed if he testified against a local strongman.,3
"My employer dismissed me citing insubordination, but I believe the reason given is unfair.",6
"I found a fake LinkedIn profile using my name and work history to scam recruiters, how do I report it?",4
Someone attempted to physically restrain a child to stop them from returning home after school.,3
My private yoga class recordings were shared outside the group by another participant without my consent.,4
A former tenant is threatening to post fabricated private content about me online after a rental dispute.,4
My teenage nephew got into a fight and injured another minor seriously during a school event.,3
"Someone created a parody account mimicking me in a way that is damaging my reputation, is this legal?",4
I want compensation from a neighbour whose construction debris damaged plants and fencing in our garden.,0
I want to understand how legitimacy affects a child's inheritance rights within our family.,5
My company deducted provident fund from my salary but never registered it under my account.,6
A man was seen carrying a knife and threatening passersby near the local market late at night.,3
My relative fell seriously ill after eating food at a family gathering and we suspect it was tampered with.,3
I want to recover possession of a portion of our compound that a neighbour has been using without permission.,0
"My company merged with another organization, and my pension benefits seem to have been affected.",6
A contractor left our office renovation incomplete after taking almost the entire agreed payment upfront.,0
"My neighbour has built a boundary wall that intrudes several feet into my office space, and he refuses to correct it.",7
A person who reported a crime to the police is being harassed by the accused party's relatives.,3
I want compensation from a neighbour whose overflowing water tank damaged goods stored in my ground floor shop.,0
I want to know whether my married sister has an equal share in our ancestral office space along with the other siblings.,7
A contractor charged more than the agreed amount and is refusing to explain the additional charges.,0
My relative's shop was flooded due to a blocked drain caused by a neighbour's construction debris.,0
A person allegedly changed the locks and removed evidence from a crime scene before police arrived.,3
My residential plot was demolished by local authorities citing an old land dispute that I was never properly informed about.,7
The billboard advertisement for a printer sale mentioned a price that was very different from what I was actually charged in-store.,2
"My uncle passed away without children, and we are trying to determine who is entitled to his property.",5
"I have been complaining about poor OTT streaming subscription for months now, but the provider keeps assuring improvement without any real action.",2
I want to challenge a state law that appears to unreasonably restrict citizens from switching their place of residence.,1
I want to know if the state can restrict who is allowed to contest elections for a specific community-based seat.,1
Someone created a fake investment advisor profile claiming expertise in cryptocurrency to collect money from people.,4
A state education board denied recognition to a school run by a religious minority without a clear legal basis.,1
"The government has acquired part of my agricultural land for a road project, and I want to know about fair compensation.",7
I want to know the correct process for registering an apartment flat that I recently purchased in Hyderabad.,7
My private online music lessons were recorded and resold without my knowledge or consent.,4
A stranger created a fake customer support helpline using our gas company's name to extract personal details.,4
My private conversation from an online grief support group was shared outside the group without consent.,4
"A public authority is denying me access to a government building because of my physical disability, and I want to challenge this.",1
A local gang has been extorting money from small shop owners in exchange for so-called protection.,3
"My UPI account was used for a transaction I never made, who do I complain to?",4
I want to challenge a policy that denies certain benefits to citizens purely based on where they were born.,1
My professional license was suspended by a government body without giving me a fair opportunity to present my case.,1
"A state-run school denied me a government service on the basis of my caste, and I want to challenge this as discriminatory.",1
"The store overcharged me for a trimmer beyond the price printed on the label, and they are refusing to correct the bill.",2
I want compensation from a neighbour whose careless renovation caused permanent damage to my parked scooter.,0
A supplier is refusing to fulfil an order despite a written agreement guaranteeing priority delivery for our business.,0
I want to recover dues from a client who has not paid for goods delivered as per our agreement.,0
"The company's advertisement showed a much larger size for the pair of wireless earphones, but the delivered product was noticeably smaller than shown.",2
"Someone hacked my online gaming account and stole in-game purchases, can I report this?",4
I want to understand if festival bonuses are a legal entitlement or purely discretionary.,6
I was billed for salon membership package at a much higher rate than what was quoted to me verbally at the time of subscribing.,2
I want to know if stepparents have any legal obligation to support stepchildren financially.,5
"After registering the sale deed for my family house, I discovered the seller did not have full ownership rights to sell it.",7
"Someone stole my business data and is using it to run a competing service, what legal action is possible?",4
"I was denied a passport renewal without any clear reason being given, and I want to challenge this decision.",1
A textile supplier delivered goods that did not match the samples agreed upon in our contract.,0
"My gym membership was cancelled without notice, and the company is refusing to refund the remaining fee.",0
Someone threw a brick through our window during a dispute about loud music at a party.,3
"A person made false statements about my professional integrity during a community gathering, damaging my reputation.",0
Someone used forged signatures to transfer my agricultural land into their name without my knowledge or consent.,7
"I received threats on social media after refusing to pay someone online, is this a crime?",4
"I want a replacement for my faulty power bank, but a franchise store keeps sending a technician instead of giving me a new unit as promised.",2
An app that my child uses for online classes appears to be collecting more personal data than expected.,4
My former employer is not responding to my requests regarding pending provident fund settlement.,6
"The bank is threatening to take possession of my farmhouse over a loan default, and I want to know my rights.",7
I want to know if platform workers have any right to dispute unfair penalty deductions.,6
"My online portfolio was cloned entirely on another domain to mislead clients, what legal action is available?",4
What are my constitutional options if a government authority in Jaipur continues to ignore my legitimate grievance?,1
A supplier is refusing to fulfil the remaining part of a bulk order despite receiving partial advance payment.,0
I lent a friend a large sum of money two years ago and he keeps avoiding repayment despite promises.,0
Someone accessed my fitness app account and shared my private health data on a public forum.,4
My neighbour's falling debris during renovation damaged solar panels installed on my rooftop.,0
My tenant has stopped paying rent and is now refusing to vacate my village land despite the lease period having ended.,7
"I have written several emails about my unresolved food delivery service issue, but the company never responds with any concrete solution.",2
I was denied entry into a public building by security staff because of the way I was dressed for religious reasons.,1
"I inherited a residential bungalow from my grandfather, but a distant relative is now disputing my ownership over it.",7
I want to know if my company can reduce my designated working hours without adjusting my salary.,6
"The person who sold me an apartment flat turns out to have only partial ownership, and other co-owners were never informed of the sale.",7
My grandmother was physically abused by a hired attendant while we were away for a few days.,3
We want to know how to escalate a complaint when the local police station is not taking action.,3
I want to understand what documents are needed to file a maintenance claim on behalf of elderly parents.,5
My employer is not contributing the correct amount toward my provident fund every month.,6
My private online tutoring sessions were recorded and shared without my consent by a student.,4
"I was arrested without being informed of the reasons for my detention, and I want to understand my constitutional protections.",1
I want to know if I can remarry immediately after my divorce is finalized.,5
"I was added to a scam WhatsApp group promising quick money returns, how do I report the organizers?",4
I want to file a complaint since my employer has been paying below minimum wage for years.,6
My employer refuses to pay for medical treatment after I got injured while working at their house.,6
I want to understand my rights if my company suddenly changes remote work policies without notice.,6
My relative's newly planted orchard was deliberately destroyed by unknown persons overnight.,3
I want to bring a legal challenge asking a public authority to finally act on a duty it has been ignoring.,1
The registrar's office is delaying the registration of my independent house without giving me any clear reason for the delay.,7
A person's careless handling during loading damaged goods meant for our export shipment.,0
A person mixed something harmful into the water tank of our building after a dispute with residents.,3
"A state government office is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",1
A person is threatening to expose my private financial struggles shared during an online support group.,4
A public authority denied my request to hold a peaceful sit-in protest outside a government office without valid reasoning.,1
I want to recover money owed to me by a client who has stopped responding after receiving my services.,0
"The local administration is failing to fulfil a basic constitutional duty owed to citizens in my area, and I want to act on this.",1
I want to know if I can stop unauthorized construction happening right on the boundary of my piece of land.,7
I discovered that a duplicate SIM was issued for my number without my authorization.,4
I want to understand the scope of a non-compete agreement I signed at the start of my employment.,6
I want to understand my rights if my manager consistently undermines my authority in front of my team.,6
I want to divorce my wife because she constantly humiliates me in front of our families.,5
"My wife left the country with our children without informing me, and I want to understand my legal options.",5
Someone hijacked my podcast's official account and started posting unrelated promotional content.,4
A central government authority is preventing me from practicing my trade in a public market without giving any valid legal reason.,1
My tenant has stopped paying rent and is now refusing to vacate my piece of land despite the lease period having ended.,7
How can I legally challenge a state government office for violating my fundamental rights while carrying out their official duties?,1
"My online business was hit by a ransomware attack, what legal steps should we take?",4
"My husband wants a divorce, but I am opposing it since I believe our marriage can still be saved.",5
"Two people are claiming ownership of the same row house in Jaipur, and I am not sure whose claim is valid.",7
"My online subscription was auto-renewed and charged without my consent using stolen card details, what next?",4
I was charged a hefty cancellation fee for an online tuition course even though I cancelled well within the allowed free cancellation period.,2
Someone has built an illegal structure on a piece of land that legally belongs to my family without our permission.,7
My relative accepted payment in counterfeit currency notes from an unknown customer at his shop.,3
"I paid for gym membership, but the quality of service has been extremely poor and far below what was promised at the time of signing up.",2
"My business associate cancelled a signed agreement to jointly open a franchise, leaving me with unpaid initial costs.",0
My employer is treating me unfairly because I raised concerns about workplace policies earlier.,6
"I bought a motorbike that stopped working within a week, and an offline retail store is refusing to repair or replace it. What can I do?",2
Can I take legal action against someone who has occupied my housing plot without my permission for several years?,7
How do I file a complaint against an offline retail store in Kolkata for selling me a defective tablet?,2
My in-laws are trying to remove me from the family home despite my ongoing marriage to their son.,5
I want to know my rights to continue residing in the matrimonial home during divorce proceedings.,5
My relative promised to transfer his share of a family business to me but has been delaying the process.,0
My employer reduced staff strength significantly without following proper retrenchment procedures.,6
What can I do if my co-owner is trying to sell a jointly owned piece of land without informing me at all?,7
Someone used forged signatures to transfer my village land into their name without my knowledge or consent.,7
"My cousin lent his tractor to a relative for the harvest season, and it has not been returned since.",0
My relative refuses to return a vehicle I lent him temporarily for a family function months ago.,0
"The company providing my loan processing service has been extremely negligent, causing repeated inconvenience without offering any compensation.",2
I was charged extra hidden fees while purchasing a water heater that were never mentioned anywhere during the checkout process.,2
"My employer terminated my role citing redundancy, but a similar position was advertised shortly after.",6
"A former partner is threatening to post my private pictures unless I get back with them, what should I do?",4
"My employer merged my department with another team, leading to unclear reporting structures.",6
I want to address recurring disagreements with my spouse regarding our children's upbringing.,5
My private voice message meant for a friend was leaked into a public community group.,4
"I was tricked into installing a remote access app and lost money from my bank account, what now?",4
"I paid the full fee for an online tuition course, but the promised course content and live classes were never actually delivered as advertised.",2
My cousin wants to know if paternity can be legally challenged years after a child's birth.,5
I want to challenge a gift deed through which my orchard land was transferred to a relative without my knowledge.,7
I want to understand if my employer can penalize employees for participating in union activities.,6
I want to file a complaint regarding poor ventilation and unsafe air quality at my workplace.,6
My in-game purchases were transferred to another account after someone accessed my gaming profile without permission.,4
An official body denied my legitimate request in an inconsistent manner compared to how similar requests were handled for others.,1
I want a court to direct a person to return borrowed farming tools that he refuses to give back.,0
A group forcibly entered a moving car and robbed the occupants at a deserted stretch of road.,3
My in-laws are denying me visitation with my children after my husband's sudden passing.,5
My employer refuses to provide appointment letters to newly hired employees despite repeated requests.,6
A stranger has been posting our family photos along with our home address on a public forum.,4
I want to know if I can prevent my ex-spouse from moving our children far away without my consent.,5
My father was told he must pay money or his truck would be damaged on the highway.,3
"I clicked a fake link and my Gmail account got compromised, what is the legal process to recover it?",4
I want to claim damages from a construction company whose faulty work caused water leakage in my house.,0
My tenant is causing damage to my small plot and refuses to pay for the repairs despite the terms of our lease.,7
I want to understand what actions I can take if my company ignores repeated fire safety violations.,6
I want to know if maternity benefits apply to contract employees as well as permanent staff.,6
Someone threatened to harm my brother's family unless he agreed to sell his shop below market price.,3
"I received threats from an online loan app agent for a loan I never took, what can I do?",4
A partner in our firm is refusing to contribute his share toward settling a pending vendor payment.,0
My cousin's business partner is holding onto shared office equipment after their partnership officially ended.,0
How do I legally establish my ownership over an office space that has been in dispute with a family member for years?,7
"A stranger keeps sending friend requests from different fake accounts after I block them, what can I do?",4
Someone forcibly entered our house claiming to be recovery agents and damaged our furniture.,3
I want to understand if remote work arrangements require a separate written agreement from the employer.,6
Someone impersonated my late grandfather's social media account to ask relatives for urgent financial help.,4
A group of strangers set up a temporary shelter on our land without asking for permission.,3
We separated three years ago and are now ready to formally file for mutual divorce.,5
I want to know if my job position is protected while I am on maternity leave.,6
My relative's newly built shop developed cracks within months due to poor construction by the contractor.,0
We believe a family member was mistreated at the police station simply because of his background.,3
My grandfather has been occupying the entire ancestral vacant plot and refuses to let other family members access their share.,7
A public authority seized my documents without providing any receipt or explanation for the action taken against me.,1
My relative was wrongly named in an FIR related to an incident he had no connection to.,3
"I gave my grandfather power of attorney to manage my row house, but they have since misused it to sell the land.",7
Someone forcibly took my brother in a car and demanded money before letting him go near the highway.,3
My wife's new partner is influencing our children in ways that concern me deeply.,5
My wife wants to waive the waiting period for our mutual consent divorce due to personal reasons.,5
"A government college rejected my application without giving any reasons, and I believe this decision was completely arbitrary.",1
"The technician sent for home renovation contract did a careless job, and now the underlying problem has actually gotten worse than before.",2
"Someone tagged me in inappropriate posts to damage my reputation among friends, is this actionable?",4
I discovered that a public university has been monitoring my personal communications without informing me or obtaining proper authorization.,1
My relative's neighbour has been storing construction debris on our shared pathway for several weeks now.,0
"I was promised a one-year guarantee on my tablet, but now the shopkeeper says the guarantee card I have is not valid.",2
A boundary dispute has arisen after my neighbour got a fresh land survey done that shows different measurements than before.,7
I want to know whether alimony can be revised if my former spouse remarries.,5
"A security agency failed to provide guards as agreed in our contract, leaving our premises unattended.",0
A government authority is denying citizens the right to question a public decision through an established grievance mechanism.,1
"My son received threatening messages from classmates through an anonymous messaging app, what can we do?",4
My supervisor constantly makes demeaning comments about my work in front of other colleagues.,6
My brother is being harassed daily by a group demanding he pay for damage he never caused.,3
"Someone shared screenshots of a private group chat that led to public embarrassment, is this actionable?",4
Someone used forged signatures to transfer my independent house into their name without my knowledge or consent.,7
The mutation entry for my commercial shop still shows my late father's name even though I am the legal heir now.,7
"I paid for property maintenance service, but the quality of service has been extremely poor and far below what was promised at the time of signing up.",2
A local body denied permission for citizens to organize a peaceful vigil outside a court premises without valid grounds.,1
The extended warranty I paid extra for on my smartwatch is not being honoured now that the product has actually broken down.,2
Someone fired shots in the air outside our house to intimidate our family during a land dispute.,3
I want to challenge a rule that requires citizens to disclose their religion before accessing an unrelated government service.,1
"My small plot is being acquired by the state for a public project, and I have concerns about the compensation offered.",7
My relative's cattle were stolen from the shed despite the gate being locked overnight.,3
My employer laid off a large group of workers without following the proper retrenchment process.,6
I want to know if family disputes can be resolved through arbitration instead of formal court proceedings.,5
I want to know how to legally divide an ancestral warehouse property among four siblings who all have equal claims.,7
My relatives are disputing the division of ancestral property left behind by our grandparents.,5
Our union wants to file a collective complaint regarding unsafe conditions across multiple factory units.,6
